,cluster_R,cluster_G,cluster_B,color
7732,22,69,149,파랑
7733,103,102,105,회색
7734,57,64,67,진한회색
7735,151,160,161,회색
7736,233,233,233,흰
7737,50,49,47,검정
7738,127,128,124,회색
7739,191,191,190,밝은회색
7740,152,152,149,회색
7741,230,230,229,흰
7742,21,18,19,검정
7743,188,42,88,분홍
7744,154,16,67,분홍
7745,211,210,212,밝은회색
7746,37,40,43,검정
7747,231,230,232,흰
7748,203,51,59,버건디
7749,1,135,179,파랑
7750,210,209,212,밝은회색
7751,46,48,55,검정
7752,217,219,227,흰
7753,94,98,108,회색
7754,122,12,25,버건디
7755,20,18,19,검정
7756,196,195,199,밝은회색
7757,48,55,65,남
7758,219,219,219,밝은회색
7759,18,18,19,검정
7760,225,223,226,흰
7761,177,68,75,버건디
7762,151,30,42,버건디
7763,46,46,47,검정
7764,200,199,203,밝은회색
7765,122,0,20,빨강
7766,218,221,229,흰
7767,236,205,200,분홍
7768,53,50,50,검정
7769,201,197,189,베이지
7770,188,22,41,빨강
7771,163,30,47,빨강
7772,116,116,116,회색
7773,177,3,23,빨강
7774,120,120,119,회색
7775,42,41,42,검정
7776,218,219,222,흰
7777,234,234,236,흰
7778,142,142,142,회색
7779,24,28,33,검정
7780,0,113,126,파랑
7781,4,60,68,청록
7782,224,162,39,주황
7783,142,51,49,버건디
7784,170,71,68,분홍
7785,208,208,214,밝은회색
7786,47,45,45,진한회색
7787,228,227,230,흰
7788,91,88,89,회색
7789,174,172,173,밝은회색
7790,130,50,72,빨강
7791,104,22,46,빨강
7792,202,202,204,밝은회색
7793,133,130,135,회색
7794,127,122,126,회색
7795,205,205,209,밝은회색
7796,138,137,136,회색
7797,178,7,28,빨강
7798,225,224,228,흰
7799,215,216,221,밝은회색
7800,4,4,6,검정
7801,229,229,228,흰
7802,225,207,175,주황
7803,203,203,207,밝은회색
7804,43,52,81,남
7805,199,201,205,밝은회색
7806,90,151,190,파랑
7807,60,114,157,파랑
7808,207,208,209,밝은회색
7809,29,29,30,검정
7810,188,7,41,빨강
7811,171,5,34,빨강
7812,45,31,91,남
7813,188,149,138,분홍
7814,143,118,81,갈색
7815,37,38,42,검정
7816,194,155,33,노랑
7817,124,126,131,회색
7818,147,149,155,회색
7819,205,210,216,밝은회색
7820,137,139,145,회색
7821,102,104,109,회색
7822,14,13,14,검정
7823,69,68,70,진한회색
7824,217,218,222,밝은회색
7825,253,254,254,흰
7826,20,20,21,검정
7827,187,191,197,밝은회색
7828,217,221,225,밝은회색
7829,41,38,42,검정
7830,125,124,123,회색
7831,175,36,45,버건디
7832,173,59,67,분홍
7833,27,28,31,검정
7834,68,70,74,진한회색
7835,86,74,119,보라
7836,109,97,140,보라
7837,59,57,56,검정
7838,218,216,212,밝은회색
7839,188,122,104,분홍
7840,46,42,42,검정
7841,216,71,93,분홍
7842,51,49,51,검정
7843,55,54,56,검정
7844,173,181,39,연두
7845,229,231,231,흰
7846,119,118,120,회색
7847,1,1,2,검정
7848,177,185,1,연두
7849,97,98,95,회색
7850,47,49,48,검정
7851,3,131,171,하늘
7852,199,206,214,밝은회색
7853,40,39,43,검정
7854,143,39,94,자주
7855,202,201,207,밝은회색
7856,42,42,44,검정
7857,236,96,71,다홍
7858,212,78,67,다홍
7859,113,114,114,회색
7860,220,222,224,밝은회색
7861,201,201,205,밝은회색
7862,22,23,23,검정
7863,211,206,196,밝은회색
7864,230,192,12,노랑
7865,233,201,22,노랑
7866,24,24,24,검정
7867,46,47,49,진한회색
7868,107,108,109,회색
7869,121,191,184,하늘
7870,207,208,210,밝은회색
7871,198,230,225,하늘
7872,209,127,108,다홍
7873,34,36,44,검정
7874,200,204,217,밝은회색
7875,195,130,209,보라
7876,203,205,206,밝은회색
7877,139,139,177,연보라
7878,205,171,171,분홍
7879,32,32,31,검정
7880,211,211,204,밝은회색
7881,215,129,1,주황
7882,27,10,6,검정
7883,148,105,51,갈색
7884,60,60,62,진한회색
7885,208,208,205,밝은회색
7886,171,171,169,밝은회색
7887,209,211,213,밝은회색
7888,101,100,102,회색
7889,14,8,10,검정
7890,56,53,59,진한회색
7891,232,231,236,흰
7892,107,20,15,갈색
7893,24,23,25,검정
7894,223,223,224,밝은회색
7895,84,178,227,하늘
7896,51,158,222,하늘
7897,172,9,13,빨강
7898,149,37,36,버건디
7899,55,53,53,진한회색
7900,188,107,136,분홍
7901,131,1,29,빨강
7902,177,89,121,분홍
7903,166,61,100,분홍
7904,200,199,200,밝은회색
7905,230,230,230,밝은회색
7906,187,186,187,밝은회색
7907,242,243,243,흰
7908,158,164,173,회색
7909,187,8,11,빨강
7910,117,119,122,회색
7911,38,39,39,검정
7912,14,14,14,검정
7913,216,217,219,밝은회색
7914,231,6,19,빨강
7915,243,10,24,빨강
7916,76,78,79,진한회색
7917,211,213,216,밝은회색
7918,99,98,100,회색
7919,122,122,123,회색
7920,83,82,84,회색
7921,203,200,188,밝은회색
7922,210,224,178,연두
7923,239,169,130,주황
7924,246,216,179,살구
7925,238,126,68,주황
7926,213,203,194,밝은회색
7927,234,106,83,다홍
7928,114,165,170,하늘
7929,48,49,48,진한회색
7930,51,138,72,초록
7931,245,199,3,노랑
7932,181,196,199,밝은회색
7933,109,146,168,하늘
7934,56,55,59,검정
7935,180,173,162,밝은회색
7936,39,37,37,검정
7937,77,114,65,초록
7938,140,141,141,회색
7939,120,154,104,연두
7940,206,205,207,밝은회색
7941,56,68,91,남
7942,223,222,222,흰
7943,36,35,37,검정
7944,217,213,207,밝은회색
7945,253,58,64,빨강
7946,160,158,155,회색
7947,138,137,135,회색
7948,36,35,37,검정
7949,217,213,207,밝은회색
7950,253,58,64,빨강
7951,160,158,155,회색
7952,138,137,135,회색
7953,44,41,42,검정
7954,192,18,59,버건디
7955,229,48,84,분홍
7956,232,127,41,주황
7957,217,217,217,밝은회색
7958,212,214,217,밝은회색
7959,82,71,68,진한회색
7960,166,167,172,회색
7961,217,203,192,베이지
7962,212,212,217,밝은회색
7963,106,102,109,진한회색
7964,146,143,147,회색
7965,205,143,53,주황
7966,192,171,163,베이지
7967,220,77,80,다홍
7968,88,85,76,진한회색
7969,196,191,171,밝은회색
7970,70,67,51,진한회색
7971,228,223,200,밝은회색
7972,32,30,31,검정
7973,230,1,30,빨강
7974,116,141,161,발블
7975,26,26,26,검정
7976,173,230,230,하늘
7977,64,64,64,진한회색
7978,230,229,229,밝은회색
7979,198,229,226,하늘
7980,38,38,43,검정
7981,193,194,199,밝은회색
7982,80,80,86,진한회색
7983,109,110,115,회색
7984,100,101,105,회색
7985,43,42,46,검정
7986,217,215,209,밝은회색
7987,205,206,198,밝은회색
7988,156,159,167,회색
7989,201,199,197,밝은회색
7990,50,46,44,검정
7991,169,184,198,밝은회색
7992,194,192,188,밝은회색
7993,38,34,35,검정
7994,81,76,75,진한회색
7995,113,138,170,발블
7996,144,162,182,발블
7997,164,164,164,회색
7998,45,45,45,검정
7999,114,114,114,회색
8000,219,218,224,밝은회색
8001,163,157,153,밝은회색
8002,246,245,244,흰
8003,210,204,199,밝은회색
8004,234,11,43,빨강
8005,38,32,29,검정
8006,229,224,222,밝은회색
8007,77,70,65,진한회색
8008,220,222,221,밝은회색
8009,148,151,152,회색
8010,207,38,41,빨강
8011,33,37,37,검정
8012,48,51,51,진한회색
8013,36,36,37,검정
8014,183,8,41,빨강
8015,58,57,48,진한회색
8016,218,215,204,밝은회색
8017,46,46,40,진한회색
8018,203,200,189,밝은회색
8019,239,241,241,흰
8020,54,55,54,진한회색
8021,216,50,62,다홍
8022,237,42,57,다홍
8023,177,38,45,빨강
8024,71,70,74,진한회색
8025,155,155,161,회색
8026,207,207,213,밝은회색
8027,152,8,33,빨강
8028,123,126,127,회색
8029,53,53,54,진한회색
8030,175,60,65,분홍
8031,148,148,152,회색
8032,206,207,210,밝은회색
8033,140,141,144,회색
8034,229,228,227,흰
8035,44,45,45,검정
8036,252,54,25,다홍
8037,32,33,33,검정
8038,126,127,129,회색
8039,200,201,206,밝은회색
8040,239,241,249,흰
8041,146,146,149,회색
8042,42,46,48,검정
8043,58,88,160,파랑
8044,24,42,75,남
8045,107,110,113,회색
8046,220,224,225,흰
8047,152,50,63,버건디
8048,214,212,214,밝은회색
8049,193,109,117,분홍
8050,27,27,27,검정
8051,107,106,110,회색
8052,179,178,184,회색
8053,158,165,191,밝은회색
8054,181,186,207,밝은회색
8055,25,21,21,검정
8056,27,27,27,검정
8057,107,106,110,회색
8058,179,178,184,밝은회색
8059,158,165,191,밝은회색
8060,181,186,207,밝은회색
8061,29,27,28,검정
8062,165,69,75,분홍
8063,203,206,212,밝은회색
8064,181,78,85,분홍
8065,182,51,63,버건디
8066,166,13,18,빨강
8067,193,188,192,밝은회색
8068,179,24,30,빨강
8069,182,34,40,빨강
8070,144,151,166,회색
8071,50,59,73,진한회색
8072,28,36,46,진한회색
8073,25,25,30,검정
8074,203,206,217,밝은회색
8075,217,217,217,밝은회색
8076,49,40,37,검정
8077,54,53,56,진한회색
8078,217,212,205,밝은회색
8079,224,215,188,아이보리
8080,29,33,49,검정
8081,221,51,15,빨강
8082,221,222,215,밝은회색
8083,248,101,38,주황
8084,70,84,108,남
8085,105,130,161,파랑
8086,196,196,196,밝은회색
8087,123,123,123,회색
8088,50,50,52,검정
8089,27,59,127,파랑
8090,64,95,170,파랑
8091,225,226,229,밝은회색
8092,25,25,28,검정
8093,84,85,87,진한회색
8094,91,92,95,진한회색
8095,119,87,59,갈색
8096,145,110,75,갈색
8097,212,213,217,밝은회색
8098,115,116,119,회색
8099,37,34,36,검정
8100,222,224,224,흰
8101,109,110,110,회색
8102,221,132,0,주황
8103,31,31,35,검정
8104,30,66,131,파랑
8105,216,216,218,밝은회색
8106,31,34,37,검정
8107,80,83,86,진한회색
8108,88,90,93,진한회색
8109,226,202,156,주황
8110,225,226,228,밝은회색
8111,41,45,58,진한회색
8112,231,173,34,주황
8113,93,127,164,발블
8114,34,35,53,남
8115,112,110,118,회색
8116,2,3,5,검정
8117,206,206,208,밝은회색
8118,36,35,39,검정
8119,133,130,135,회색
8120,107,107,111,회색
8121,165,159,163,회색
8122,44,54,75,남
8123,126,134,146,회색
8124,85,93,102,회색
8125,210,219,230,흰
8126,217,219,221,흰
8127,134,183,186,하늘
8128,22,22,24,검정
8129,61,60,63,진한회색
8130,77,78,84,진한회색
8131,45,45,45,진한회색
8132,26,25,25,검정
8133,183,105,45,갈색
8134,238,238,238,흰
8135,214,214,214,회색
8136,105,107,105,진한회색
8137,23,24,26,검정
8138,85,86,85,진한회색
8139,208,212,213,밝은회색
8140,96,97,96,진한회색
8141,91,94,92,회색
8142,198,36,50,다홍
8143,21,20,20,검정
8144,203,131,59,주황
8145,215,149,69,
8146,85,84,85,
8147,228,229,230,
8148,50,48,51,
8149,130,129,131,
8150,191,123,33,
8151,130,27,50,
8152,188,186,187,
8153,183,183,188,
8154,118,33,40,
8155,199,199,201,
8156,90,79,100,
8157,26,20,18,
8158,68,55,45,
8159,220,167,119,
8160,227,82,3,
8161,83,63,51,
8162,213,210,212,
8163,217,175,155,
8164,51,48,50,
8165,148,117,104,
8166,209,209,204,
8167,18,22,23,
8168,39,98,72,
8169,41,43,46,
8170,201,202,205,
8171,133,153,145,
8172,29,26,30,
8173,61,56,59,
8174,84,72,137,
8175,203,203,214,
8176,100,88,163,
8177,207,204,195,
8178,93,79,157,
8179,28,33,32,
8180,114,9,22,
8181,48,15,18,
8182,226,227,227,
8183,16,14,17,
8184,52,50,51,
8185,56,39,86,
8186,220,218,202,
8187,201,231,5,
8188,201,200,194,
8189,98,96,91,
8190,82,80,76,
8191,25,23,22,
8192,166,168,171,
8193,35,35,35,
8194,125,1,18,
8195,205,206,205,
8196,199,5,45,
8197,37,37,38,
8198,223,221,208,
8199,84,82,80,
8200,203,200,193,
8201,43,40,42,
8202,203,202,201,
8203,131,108,87,
8204,153,135,115,
8205,173,169,133,
8206,233,234,229,
8207,204,204,203,
8208,202,194,173,
8209,130,38,36,
8210,164,80,74,
8211,21,58,132,
8212,127,142,179,
8213,216,213,204,
8214,174,169,160,
8215,224,228,189,
8216,199,187,176,
8217,220,221,141,
8218,208,204,160,
8219,32,30,31,
8220,67,67,69,
8221,218,217,218,
8222,1,136,93,
8223,23,42,39,
8224,160,192,221,
8225,210,212,213,
8226,28,29,31,
8227,203,169,122,
8228,181,185,178,
8229,187,178,180,
8230,54,51,55,
8231,70,60,121,
8232,39,28,89,
8233,237,236,234,
8234,211,208,198,
8235,9,9,12,
8236,217,196,198,
8237,34,32,37,
8238,128,115,117,
8239,43,40,41,
8240,220,215,207,
8241,19,20,22,
8242,135,102,98,
8243,74,62,61,
8244,160,83,84,
8245,194,190,187,
8246,113,75,67,
8247,121,13,27,
8248,139,51,21,
8249,187,187,187,
8250,110,23,37,
8251,36,34,37,
8252,140,20,38,
8253,217,216,214,
8254,195,195,181,
8255,19,18,19,
8256,207,203,198,
8257,173,170,160,
8258,220,214,198,
8259,184,151,128,
8260,184,200,134,
8261,237,234,222,
8262,25,24,24,
8263,151,87,33,
8264,206,198,186,
8265,55,52,52,
8266,195,131,54,
8267,43,41,41,
8268,209,190,177,
8269,85,84,86,
8270,110,109,111,
8271,61,60,62,
8272,174,182,39,
8273,229,231,231,
8274,26,26,28,
8275,178,187,2,
8276,57,57,59,
8277,34,122,169,
8278,223,223,225,
8279,253,253,254,
8280,213,211,198,
8281,182,175,155,
8282,160,125,97,
8283,188,152,122,
8284,232,225,217,
8285,217,163,138,
8286,222,196,179,
8287,237,233,223,
8288,211,172,143,
8289,190,148,120,
8290,217,206,214,
8291,255,255,255,
8292,254,254,255,
8293,218,207,215,
8294,196,193,182,
8295,182,3,9,
8296,213,212,215,
8297,109,112,117,
8298,127,129,133,
8299,217,218,215,
8300,209,209,209,
8301,18,17,19,
8302,0,99,183,
8303,187,189,193,
8304,234,12,52,
8305,205,206,206,
8306,19,19,19,
8307,0,116,178,
8308,39,43,67,
8309,208,207,212,
8310,17,15,28,
8311,33,31,32,
8312,176,180,184,
8313,158,163,169,
8314,183,191,199,
8315,22,89,200,
8316,152,172,191,
8317,137,159,182,
8318,129,146,166,
8319,208,208,211,
8320,96,96,98,
8321,45,45,45,
8322,144,153,161,
8323,176,175,177,
8324,87,106,157,
8325,33,33,32,
8326,154,21,43,
8327,222,223,232,
8328,248,249,252,
8329,82,81,82,
8330,71,70,74,
8331,206,206,212,
8332,169,169,177,
8333,21,22,22,
8334,139,103,52,
8335,211,215,224,
8336,33,33,35,
8337,111,152,186,
8338,40,38,40,
8339,211,219,220,
8340,95,95,98,
8341,216,216,219,
8342,216,216,217,
8343,72,75,77,
8344,192,193,193,
8345,230,231,232,
8346,170,171,171,
8347,65,65,66,
8348,245,246,244,
8349,205,205,201,
8350,217,217,213,
8351,188,188,184,
8352,170,169,166,
8353,81,80,82,
8354,65,75,86,
8355,201,197,179,
8356,171,165,146,
8357,30,27,27,
8358,6,40,139,
8359,2,116,53,
8360,242,88,31,
8361,206,202,195,
8362,66,60,56,
8363,207,208,212,
8364,132,1,4,
8365,0,2,2,
8366,193,0,0,
8367,44,44,44,
8368,1,1,1,
8369,127,127,127,
8370,194,44,55,
8371,114,113,114,
8372,135,136,146,
8373,130,141,169,
8374,27,27,28,
8375,83,84,85,
8376,235,236,236,
8377,189,190,190,
8378,251,251,252,
8379,20,22,24,
8380,69,69,71,
8381,82,82,82,
8382,190,190,190,
8383,61,64,67,
8384,35,35,35,
8385,84,85,86,
8386,108,108,111,
8387,216,216,225,
8388,172,172,178,
8389,224,35,37,
8390,41,38,39,
8391,248,21,32,
8392,68,70,70,
8393,141,147,150,
8394,156,161,164,
8395,33,30,32,
8396,191,4,33,
8397,187,187,189,
8398,203,203,202,
8399,130,129,129,
8400,201,201,201,
8401,100,101,100,
8402,205,205,205,
8403,117,116,118,
8404,203,203,202,
8405,125,125,124,
8406,197,196,194,
8407,211,225,241,
8408,140,166,204,
8409,31,33,35,
8410,72,116,176,
8411,92,134,191,
8412,177,145,38,
8413,54,54,55,
8414,178,176,172,
8415,76,60,26,
8416,84,64,16,
8417,22,17,13,
8418,200,199,196,
8419,202,213,206,
8420,35,33,35,
8421,146,228,1,
8422,222,216,185,
8423,207,198,161,
8424,187,174,127,
8425,217,218,220,
8426,228,42,81,
8427,200,46,74,
8428,56,54,56,
8429,76,5,32,
8430,142,139,147,
8431,130,97,64,
8432,113,85,58,
8433,99,78,63,
8434,37,36,38,
8435,222,222,223,
8436,132,33,43,
8437,60,71,90,
8438,36,44,62,
8439,215,217,220,
8440,158,162,168,
8441,203,205,212,
8442,160,20,23,
8443,44,64,111,
8444,192,191,195,
8445,83,111,176,
8446,133,142,162,
8447,29,28,30,
8448,175,201,243,
8449,193,190,185,
8450,105,102,99,
8451,47,47,51,
8452,135,131,128,
8453,120,117,114,
8454,112,88,67,
8455,120,116,113,
8456,100,102,104,
8457,0,107,70,
8458,60,60,60,
8459,197,197,198,
8460,226,226,227,
8461,52,31,95,
8462,169,168,170,
8463,230,231,234,
8464,88,150,211,
8465,151,147,142,
8466,191,191,198,
8467,130,129,134,
8468,82,82,85,
8469,64,57,107,
8470,57,50,120,
8471,210,211,211,
8472,125,123,121,
8473,133,4,21,
8474,154,155,157,
8475,15,67,137,
8476,127,127,134,
8477,17,71,138,
8478,113,117,128,
8479,33,31,31,
8480,192,190,191,
8481,76,73,74,
8482,183,189,180,
8483,133,146,122,
8484,64,64,65,
8485,31,31,32,
8486,30,61,88,
8487,213,214,219,
8488,206,207,212,
8489,59,50,84,
8490,107,101,125,
8491,73,67,94,
8492,7,5,6,
8493,35,34,35,
8494,64,63,64,
8495,4,129,74,
8496,238,236,233,
8497,35,36,39,
8498,180,16,30,
8499,217,217,221,
8500,53,61,65,
8501,202,193,196,
8502,67,90,98,
8503,224,207,206,
8504,27,27,27,
8505,182,184,185,
8506,82,83,83,
8507,185,195,190,
8508,236,236,239,
8509,44,43,43,
8510,49,77,103,
8511,56,91,135,
8512,200,200,205,
8513,42,25,72,
8514,56,39,88,
8515,1,118,59,
8516,49,44,43,
8517,0,159,92,
8518,227,224,218,
8519,8,5,6,
8520,204,201,202,
8521,39,40,42,
8522,166,42,41,
8523,133,37,36,
8524,220,220,223,
8525,207,207,209,
8526,53,58,75,
8527,210,174,172,
8528,232,211,207,
8529,207,192,192,
8530,37,38,38,
8531,36,35,37,
8532,110,109,112,
8533,142,141,144,
8534,229,229,231,
8535,167,166,169,
8536,166,37,39,
8537,23,24,24,
8538,89,92,94,
8539,235,236,240,
8540,157,161,163,
8541,135,140,144,
8542,198,4,4,
8543,148,150,153,
8544,186,21,28,
8545,18,18,19,
8546,27,28,32,
8547,63,110,132,
8548,215,217,221,
8549,101,146,165,
8550,221,214,205,
8551,213,182,143,
8552,129,169,201,
8553,101,27,21,
8554,171,204,224,
8555,243,206,75,
8556,234,204,107,
8557,241,200,59,
8558,45,45,45,
8559,199,199,201,
8560,102,102,103,
8561,148,148,149,
8562,133,133,134,
8563,23,24,24,
8564,114,13,16,
8565,71,108,185,
8566,53,16,16,
8567,197,188,165,
8568,208,209,211,
8569,39,37,39,
8570,188,190,184,
8571,208,209,211,
8572,39,37,39,
8573,210,211,214,
8574,137,138,143,
8575,37,40,40,
8576,60,49,111,
8577,77,193,183,
8578,39,42,42,
8579,206,211,208,
8580,98,105,108,
8581,112,123,127,
8582,196,209,226,
8583,234,235,237,
8584,115,114,118,
8585,222,223,224,
8586,31,31,32,
8587,165,166,168,
8588,171,35,51,
8589,3,2,1,
8590,37,29,28,
8591,201,206,213,
8592,166,165,163,
8593,56,55,54,
8594,31,30,30,
8595,48,46,46,
8596,43,40,35,
8597,83,86,90,
8598,210,211,212,
8599,34,34,34,
8600,69,66,71,
8601,208,206,212,
8602,174,171,176,
8603,44,43,45,
8604,208,208,208,
8605,77,80,86,
8606,127,127,127,
8607,188,186,185,
8608,1,88,136,
8609,138,158,174,
8610,222,223,224,
8611,42,41,42,
8612,91,91,93,
8613,6,60,124,
8614,8,93,172,
8615,105,28,25,
8616,128,42,33,
8617,194,194,194,
8618,113,1,38,
8619,231,232,232,
8620,119,15,36,
8621,177,61,1,
8622,242,113,21,
8623,200,85,3,
8624,3,2,3,
8625,116,113,120,
8626,52,48,52,
8627,45,66,152,
8628,15,16,16,
8629,22,26,64,
8630,49,35,96,
8631,205,206,203,
8632,54,54,58,
8633,128,124,122,
8634,191,192,194,
8635,215,206,194,
8636,141,135,128,
8637,149,125,103,
8638,159,113,89,
8639,188,144,116,
8640,208,173,149,
8641,124,129,130,
8642,110,113,112,
8643,38,38,37,
8644,89,76,61,
8645,232,232,219,
8646,67,66,64,
8647,205,196,175,
8648,38,35,38,
8649,69,69,69,
8650,207,198,170,
8651,30,28,30,
8652,211,210,216,
8653,26,25,26,
8654,89,1,1,
8655,14,43,104,
8656,20,27,47,
8657,13,65,34,
8658,77,76,77,
8659,21,21,22,
8660,253,200,27,
8661,223,223,223,
8662,197,200,191,
8663,194,192,202,
8664,185,207,30,
8665,200,223,57,
8666,194,194,198,
8667,156,210,208,
8668,169,116,161,
8669,132,208,208,
8670,57,58,59,
8671,185,186,180,
8672,126,126,126,
8673,196,195,192,
8674,254,96,44,
8675,255,76,32,
8676,105,110,117,
8677,224,177,146,
8678,211,156,118,
8679,190,190,197,
8680,126,123,129,
8681,40,39,41,
8682,245,246,249,
8683,39,38,39,
8684,174,153,121,
8685,154,159,167,
8686,82,83,87,
8687,65,62,61,
8688,105,102,101,
8689,187,187,185,
8690,209,205,191,
8691,115,113,113,
8692,215,215,223,
8693,90,128,148,
8694,36,35,37,
8695,184,167,154,
8696,178,173,169,
8697,51,32,32,
8698,235,233,210,
8699,246,226,25,
8700,178,145,76,
8701,43,43,43,
8702,198,198,198,
